slug,feature_label_en,value_text,value_number,value_boolean
goma,no_eyeline_touch,yes,,
goma,submissive_course,maybe,,
goma,body_washing,excellent,,
goma,date,no,,
goma,overnight_stay,no,,
goma,cuddling,maybe,,
goma,threesome_ffm,yes,,
goma,kissing,yes,,
goma,cunnilingus,yes,,
goma,fellatio,yes,,
goma,handjob,excellent,,
goma,penis_viewing,yes,,
goma,full_body_kissing,yes,,
goma,nipple_licking,yes,,
goma,rimming,yes,,
goma,fingering,yes,,
goma,g_spot_play,excellent,,
goma,portio_play,yes,,
goma,powder_massage,yes,,
goma,soft_sm,yes,,
goma,toy_play,yes,,
goma,shiatsu_massage,yes,,
goma,oil_massage,no,,
goma,level,,3,
goma,under_154cm,over_175cm,,
goma,155_to_164cm,,,
goma,165_to_174cm,,,
goma,over_175cm,,,
goma,under_24,30_to_34,,
goma,25_to_29,,,
goma,30_to_34,,,
goma,over_35,,,
goma,esfj,intj,,
goma,entj,,,
goma,isfj,,,
goma,infp,,,
goma,enfj,,,
goma,intj,,,
goma,estj,,,
goma,intp,,,
goma,infj,,,
goma,isfp,,,
goma,istp,,,
goma,istj,,,
goma,estp,,,
goma,entp,,,
goma,enfp,,,
goma,esfp,,,
goma,elegant_hard,fresh_soft,,
goma,charming_soft,,,
goma,cool_soft,,,
goma,fresh_soft,,,
goma,charming_hard,,,
goma,fresh_hard,,,
goma,elegant_soft,,,
goma,cool_hard,,,
goma,sadist_type,,,FALSE
goma,masochist_type,,,TRUE
goma,humanities_type,,,FALSE
goma,science_type,,,FALSE
goma,intellectual_type,,,TRUE
goma,monk_type,,,FALSE
goma,little_devil,,,TRUE
goma,sporty_type,,,TRUE
goma,plain_type,,,FALSE
goma,cool_type,,,TRUE
goma,subculture_type,,,TRUE
goma,otaku_type,,,FALSE
goma,akiba_type,,,FALSE
goma,dog_type,,,FALSE
goma,cat_type,,,TRUE
goma,fox_type,,,FALSE
goma,gorilla_type,,,FALSE
goma,rabbit_type,,,FALSE
goma,sweets_lover,,,TRUE
goma,big_eater_type,,,TRUE
goma,large_penis,,,TRUE
goma,chubby,,,FALSE
goma,beard,,,FALSE
goma,exile_type,,,TRUE
goma,korean_style,,,FALSE
goma,salt_face,,,FALSE
goma,sauce_face,,,TRUE
goma,soy_sauce_face,,,TRUE
goma,glasses,,,TRUE
goma,suit,,,TRUE
goma,low_voice,,,TRUE
goma,muscular,,,TRUE
goma,beautiful_skin,,,FALSE
goma,groomed_pubic_hair,,,FALSE
goma,reptile_type,,,FALSE
goma,tall,,,TRUE
goma,street_style,,,TRUE